extrap measurements 3 125
20.0 1.0 100.0 201.11353593776886
20.0 2.0 100.0 882.0005529688658
20.0 3.0 100.0 1921.291783422809
20.0 4.0 100.0 3363.2581134806874
20.0 5.0 100.0 5187.689807698165
30.0 1.0 100.0 301.34608434634595
30.0 2.0 100.0 1378.824729553895
30.0 3.0 100.0 2990.564519950746
30.0 4.0 100.0 5092.274555998634
30.0 5.0 100.0 7906.392080086774
40.0 1.0 100.0 400.1621374721261
40.0 2.0 100.0 1919.3999470884955
40.0 3.0 100.0 4128.031663466283
40.0 4.0 100.0 7038.006872084448
40.0 5.0 100.0 10711.991300897982
50.0 1.0 100.0 496.82236923549374
50.0 2.0 100.0 2509.5709570756508
50.0 3.0 100.0 5267.968030521389
50.0 4.0 100.0 8984.682842153878
50.0 5.0 100.0 13529.034351279774
60.0 1.0 100.0 606.1798018697398
60.0 2.0 100.0 3134.4852816362663
60.0 3.0 100.0 6594.744365180668
60.0 4.0 100.0 11013.992519189107
60.0 5.0 100.0 16737.930171105756
20.0 1.0 200.0 402.0308884053917
20.0 2.0 200.0 1672.1626595458438
20.0 3.0 200.0 3698.084689847855
20.0 4.0 200.0 6555.742704943317
20.0 5.0 200.0 10185.356187555619
30.0 1.0 200.0 607.0165849751312
30.0 2.0 200.0 2580.250073818716
30.0 3.0 200.0 5695.319054137818
30.0 4.0 200.0 9944.267772664025
30.0 5.0 200.0 15373.654382763005
40.0 1.0 200.0 797.6236442518475
40.0 2.0 200.0 3522.330340741663
40.0 3.0 200.0 7740.792278364839
40.0 4.0 200.0 13380.057858283568
40.0 5.0 200.0 20576.43642929514
50.0 1.0 200.0 1010.4946436871053
50.0 2.0 200.0 4479.739441528695
50.0 3.0 200.0 9754.130592560321
50.0 4.0 200.0 17133.21425398287
50.0 5.0 200.0 26017.031875309145
60.0 1.0 200.0 1205.3849762567675
60.0 2.0 200.0 5587.53853468158
60.0 3.0 200.0 11999.86161118186
60.0 4.0 200.0 20606.52797742776
60.0 5.0 200.0 31469.141193429696
20.0 1.0 300.0 603.3060186465875
20.0 2.0 300.0 2471.7826835656197
20.0 3.0 300.0 5548.076623240318
20.0 4.0 300.0 9785.848964534864
20.0 5.0 300.0 15222.79405673884
30.0 1.0 300.0 900.970271964823
30.0 2.0 300.0 3782.5450335151886
30.0 3.0 300.0 8285.386051440928
30.0 4.0 300.0 14739.69360282589
30.0 5.0 300.0 22636.811666655063
40.0 1.0 300.0 1198.7141863412933
40.0 2.0 300.0 5142.10052502773
40.0 3.0 300.0 11387.789371746272
40.0 4.0 300.0 19759.013632617985
40.0 5.0 300.0 30744.459056025044
50.0 1.0 300.0 1504.9163914170815
50.0 2.0 300.0 6406.227954792088
50.0 3.0 300.0 14304.345933943609
50.0 4.0 300.0 24608.63580081604
50.0 5.0 300.0 38709.96089686009
60.0 1.0 300.0 1779.1492861629504
60.0 2.0 300.0 7893.807063378593
60.0 3.0 300.0 17350.13635381878
60.0 4.0 300.0 30070.707182957885
60.0 5.0 300.0 47006.10801985045
20.0 1.0 400.0 803.2086025975268
20.0 2.0 400.0 3319.431323855903
20.0 3.0 400.0 7370.2292144689345
20.0 4.0 400.0 13040.763141745225
20.0 5.0 400.0 20225.376345986708
30.0 1.0 400.0 1208.489294303783
30.0 2.0 400.0 4973.340013339468
30.0 3.0 400.0 11116.915518116763
30.0 4.0 400.0 19671.681694530485
30.0 5.0 400.0 30524.34238346999
40.0 1.0 400.0 1601.7915040478222
40.0 2.0 400.0 6733.498234768451
40.0 3.0 400.0 14954.327392246556
40.0 4.0 400.0 26099.926259429125
40.0 5.0 400.0 40995.679281501216
50.0 1.0 400.0 2019.5250049902334
50.0 2.0 400.0 8509.523381037978
50.0 3.0 400.0 18890.800731707997
50.0 4.0 400.0 33051.281932640624
50.0 5.0 400.0 50735.18377335782
60.0 1.0 400.0 2410.6758156392325
60.0 2.0 400.0 10325.745238254784
60.0 3.0 400.0 22634.844776198235
60.0 4.0 400.0 39797.955693505435
60.0 5.0 400.0 61756.29977546954
20.0 1.0 500.0 1010.8517539892848
20.0 2.0 500.0 4067.8476404918038
20.0 3.0 500.0 9108.002097023049
20.0 4.0 500.0 16287.55420199057
20.0 5.0 500.0 24985.19794714694
30.0 1.0 500.0 1509.0780175651826
30.0 2.0 500.0 6226.034016739618
30.0 3.0 500.0 13756.235281919275
30.0 4.0 500.0 24191.43098770147
30.0 5.0 500.0 37872.55899406965
40.0 1.0 500.0 1996.7173429034615
40.0 2.0 500.0 8318.365919621068
40.0 3.0 500.0 18484.795570676924
40.0 4.0 500.0 32393.578433682833
40.0 5.0 500.0 50785.31879641417
50.0 1.0 500.0 2490.599338014164
50.0 2.0 500.0 10581.940872652329
50.0 3.0 500.0 23318.16040070173
50.0 4.0 500.0 40677.35874585564
50.0 5.0 500.0 63330.018436191065
60.0 1.0 500.0 3021.356087026509
60.0 2.0 500.0 12700.095420446705
60.0 3.0 500.0 28305.98530906951
60.0 4.0 500.0 49896.267125909464
60.0 5.0 500.0 77661.64556933976
